Phase E+F complete — full dispatch tree:

dim   bits   CPP_ms   Rust_ms   speedup   AlphaOnRustOut   target
10    100   35       0                   0.0282097           0.0625
20    200   113      6         18.8x     0.038032            0.0625
20    500   237      10        23.7x     0.038449            0.0625
20    1024  246      21        11.7x     0.041611            0.0625
20    2048  433      40        10.8x     0.0372634           0.0625
30    500   406      34        11.9x     0.0384759           0.0625
50    500   1631     144       11.3x     0.0514994           0.0625
50    1024  2365     246       9.6x      0.0491504           0.0625
100   50    4880     919       5.3x      0.0512353           0.0625
100   500   11948    1095      10.9x     0.0504579           0.0625
